hospital_code,blood_bank_name,district,city,area,observations,stockout_frequency,low_stock_frequency,stockout_score,low_stock_score,shortage_severity_score,stock_volatility,volatility_score,stockout_episodes,recovered_episodes,unresolved_stockout_episodes,recovery_rate,mean_recovery_snapshots,median_recovery_snapshots,recovery_weakness_score,recovery_score,BBRI,risk_class
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,Mumbai,Dr.G.Deshmukh,184,0.5489130434782609,0.2391304347826087,54.891304347826086,23.91304347826087,66.21376811594203,2.3892168556755995,61.801476548083166,23.0,19.0,4.0,82.6086956521739,2.6842105263157894,1.0,17.391304347826093,17.391304347826093,48.4688496706171,Moderate Risk
18002,The B.D. Petit Parsee General Hospital Bsu,Mumbai,Mumbai,Grant Road,208,0.7788461538461539,0.22115384615384615,77.88461538461539,22.115384615384613,95.99358974358975,1.570395986466248,47.37377368762416,19.0,11.0,8.0,57.89473684210527,7.636363636363637,5.0,42.10526315789473,42.10526315789473,61.82420886303621,High Risk
18003,"Byl Nair Hospital, Blood Centre",Mumbai,Mumbai,Mumbai Central,208,0.04326923076923077,0.3173076923076923,4.326923076923077,31.73076923076923,22.19551282051282,0.4350880251201665,29.166463873274736,5.0,5.0,0.0,100.0,1.8,1.0,0.0,0.0,17.120658897929186,Low Risk
18004,Goodwill Social ClubS Amruta Blood Centre,Aurangabad,Aurangabad,Cidco,208,0.12980769230769232,0.3894230769230769,12.980769230769232,38.94230769230769,35.57692307692308,0.6559616134343098,37.232134836459274,7.0,7.0,0.0,100.0,3.857142857142857,1.0,0.0,0.0,24.269685971127455,Low Risk
18005,Breach Candy Hospital Trust Blood Centre,Mumbai,Mumbai,Breach Candy,208,0.1201923076923077,0.375,12.01923076923077,37.5,42.14743589743589,0.8663716282033594,43.27982632690554,17.0,17.0,0.0,100.0,1.4705882352941178,1.0,0.0,0.0,28.47575407478048,Moderate Risk
18006,St. GeorgeS Hospital And Regional  Blood Centre,Mumbai,Mumbai,Fort,208,0.4519230769230769,0.35096153846153844,45.19230769230769,35.09615384615385,65.22435897435896,1.4621111407716598,54.18775835602165,13.0,9.0,4.0,69.23076923076923,5.666666666666667,1.0,30.769230769230774,30.769230769230774,50.060449366537135,High Risk
18007,Saifee Hospital Trust Blood Centre,Mumbai,Mumbai,Charni Road,208,0.4807692307692308,0.4951923076923077,48.07692307692308,49.519230769230774,80.60897435897438,0.9619307920152256,44.72910710717427,28.0,23.0,5.0,82.14285714285714,2.4782608695652173,2.0,17.85714285714286,17.85714285714286,47.73174144109717,Moderate Risk
18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",Mumbai,Mumbai,Mumbai Cst,208,1.0,0.0,100.0,0.0,100.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,100.0,100.0,66.66666666666667,High Risk
18009,Bombay Red Cross Blood Centre,Mumbai,Mumbai,Fort,208,0.9230769230769231,0.057692307692307696,92.3076923076923,5.769230769230769,96.39423076923077,3.8910550555770573,78.81444907009315,22.0,14.0,8.0,63.63636363636363,11.857142857142858,14.5,36.36363636363637,36.36363636363637,70.52410540098676,High Risk
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,Chandrapur,208,0.04326923076923077,0.4807692307692308,4.326923076923077,48.07692307692308,28.205128205128204,0.5724287625275444,35.90888360117984,9.0,9.0,0.0,100.0,1.0,1.0,0.0,0.0,21.37133726876935,Low Risk
18014,Bombay Hospital Trust Blood Centre,Mumbai,Mumbai,Marine Lines,208,0.9807692307692307,0.019230769230769232,98.07692307692307,1.9230769230769231,99.19871794871796,1.7770462766947297,30.937031021907792,12.0,4.0,8.0,33.33333333333333,13.25,17.0,66.66666666666667,66.66666666666667,65.60080521243081,High Risk
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mumbai,Mahim,208,0.6875,0.09134615384615384,68.75,9.134615384615383,73.23717948717949,0.9393182528936632,27.22328756912607,11.0,5.0,6.0,45.45454545454545,2.6,2.0,54.54545454545455,54.54545454545455,51.66864053392004,High Risk
18016,K.E.M. Hospital Blood Centre,Mumbai,Mumbai,Parel,208,0.40865384615384615,0.24519230769230768,40.86538461538461,24.519230769230766,56.25,2.085968568121984,58.358177499827995,11.0,7.0,4.0,63.63636363636363,3.2857142857142856,2.0,36.36363636363637,36.36363636363637,50.32393795448812,High Risk
18017,Masina Hospital Blood Centre,Mumbai,Mumbai,Byculla,208,0.6826923076923077,0.23076923076923078,68.26923076923077,23.076923076923077,85.8173076923077,1.7808343427689302,63.34489271554031,25.0,17.0,8.0,68.0,6.705882352941177,4.0,32.0,32.0,60.38740013594933,High Risk
