hospital_code,blood_bank_name,district,area,city
18014,Bombay Hospital Trust Blood Centre,Mumbai,Marine Lines,Mumbai
18135,"M/S. Shri Hazur Saheb Blood Centre, Components Laboratory And Apheresis Centre",Parbhani,Shivaji Nagar,Parbhani
18256,M/S Late Dr. Sadanandji Burma Trust Blood Centre,Amravati,Amravati,Amravati
18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,Parel,Mumbai
18015,"P.D. Hinduja Hospital And Medical Research, Blood Centre",Mumbai,Mahim,Mumbai
18257,"Sant Gadgebaba Blood Centre And Component Centre, Badnera",Amravati,Badnera,Amravati
18137,"Padmashri Dr. Vitthalrao Vikhe Patil Foundation Ahmednagar Medical College Hospital, Blood Bank",Ahmadnagar,Vadgaon,Ahmednagar
18258,"Dr Mankar Memorial Trust, Late. Dr. B.P. Thakre Memorial Component Blood Centre",Akola,Akola,Akola
18016,K.E.M. Hospital Blood Centre,Mumbai,Parel,Mumbai
18017,Masina Hospital Blood Centre,Mumbai,Byculla,Mumbai
18138,Jankalyan Blood Centre,Ahmadnagar,Nalegaon,Ahmednagar
18252,"Dean, Govt. Medical College Hospital Blood Centre Aurangabad",Aurangabad,Jublee Park,Aurangabad
18131,"Azad Panchi Groups, M/S Siddheshwar Blood Centre, Solapur",Solapur,Siddheshwar Peth,Solapur
18011,General Hospital Blood Centre,Chandrapur,Chandrapur,Chandrapur
285312,"Navjeevan Blood Centre, Kankawali, Sindhudurga",Sindhudurg,Sindhudurg,Kankavli
18253,"Shri Balaji Blood Centre , Blood Component Lab And Blood Transfusion Center",Amravati,Ambapeth,Amravati
18132,Jeevandhara Blood Centre,Kolhapur,Rajarampuri,KOLHAPUR
18134,"Azad Panchi Groups, Miraj Serological Institute Blood Centre",Sangli,Ganesh Nagar,Sangli
18250,"Kanthak Sevabhavi Sanstha, New Life Blood Centre, Parbhani",Parbhani,Station Road,Parbhani
18130,"Shri Basaveshwar Manav Vikas, Grameen Sevabhavi Sanstha, Adarsh Blood Centre",Sangli,Ganesh Nagar,Sangli
18251,"Blood Center Government Medical College And Hospital, Osmanabad",Osmanabad,Marwadi Galli Osmanabad,Osmanabad
284454,"Bhavar Blood Centre, Badlapur (E), Taluka Ambernath, Dist. Thane",Thane,Badlapur,Badlapur
18139,Pravara Medical Trusts Blood Centre,Ahmadnagar,Loni,Rahata
18018,N.M Wadia Hospital Blood Centre Parel Mumbai,Mumbai,Opp. Kem Hospital,Mumbai
18019,Prince Aly Khan Hospital Blood Centre,Mumbai,Mazgaon,Mumbai
18025,"S. L. Raheja Hospital. Blood Centre, Mahim",Mumbai,Mahim,Mumbai
18267,Sau. Kantadevi Dale Blood Centre,Washim,Washim,Washim
18146,Sanjeevani Blood Centre,Ahmadnagar,Vivekanand Nagar,Kopargaon
18147,Anandrushiji Blood Centre,Ahmadnagar,Burudgaon,Ahmednagar
18026,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Sai Jeewan Blood Centre",Akola,Akola,Akola
